ジャンル,投稿日時,星の数,見出し,レビュー全文,ネタバレに該当する部分
,,1,"世代じゃないと
","世代じゃないと全くわからない。
謎解きを買ってトリックというか意味は分かったが、時代がわからないと普通の浮気者の話になってしまう。",
,,5,"面白いですよ、仕掛けは。怖いですよ、女性は。
","うん、うまいね。と思います。
何故、Ａ面、Ｂ面構成の目次立てなのか。何度も出てくる車のカセットデッキのくだりとの関係。作中、ところどころに散りばめている「違和感」。あえて執拗に書いた情事表現の作者の意図。静岡という地方都市を舞台にしてリアリティを醸す手法。読み手に生じる微妙なズレの読後の嵌め込み方（パズルみたい）。で、やっぱり女性は怖いよね、と一人で唸らされる読後感。
小説として、もしくは恋愛表現としては決して上手な作品ではないんだけど、「仕掛け」を効かせたい分、登場人物のセリフやシチュエーションに少し窮屈さを寄せて「素直さ」を前面に出しているので、Ａ面の途中でだれてくるのは仕方ないかな。
「二回読みたくなる」というよりは「後書きを読んで、いろいろ気付きます」の方が正しい気がしますが、でも、作者の今回の「仕掛け」を思いついたときのほくそえんでいる顔が浮かんできて、悔しいけど逆に心地よかったです。
共感できるのは、誰にでもあるから（あったから）でしょうね、イニシエーション・ラブが。",
,,4,"決して壮大な仕掛けではない。けどおもしろい。
","１：コレコレこういう物語、だと思って読んでいると、
２：ラストで「騙されたー！！！」となり、
３：その後、カクカクシカジカという物語と、あーそういうことだったのか、という納得感が来る。
「ラスト二行で明かされる仕掛け」を先に読んでしまうと、「１」と「２」が味わえないことになる。

しかしその「１」と「２」は失うのが惜しいほどのものかというと、「１」が平凡でチープなのは作者自身も認める通り、「２」は感想が割れるところのようだが、自分は、何だそんなことかと拍子抜けした。この本がおもしろいのはオチを知った後で味わう「３」だ。

何度も反芻するうち、冗長としか思えなかった前半の描写も唐突な言い訳も、ああそういうことだったのかと、伏線がぴしりぴしりとハマって行く快感があり、とまで言うのは褒め過ぎかも知れないがなかなか奥深く、そのため解決されない伏線（意味ありげに登場するが結局なんだったんだろうと思わせる登場人物とか）も、作者の中ではそれぞれ何か意味があるのだろうと深読みしたくなり、しまいには書いてないエピソードまでいろいろ勝手に妄想できる。

これを読んで「仕掛けが既出だからダメ」というのは、寿司屋に入って「酢飯にネタを載せて供するという仕掛けは既出だから評価に値しない」と言うようなもので、もったいない。肝心なのは仕掛けの優劣ではなく、トータルな出来だ。精緻なパズルという点では、映画「運命じゃない人」を思い出させる。素晴らしい。",
,,4,"ミステリーが苦手でも、2回読めば楽しめる！
","本屋で話題だということで、手に取った小説でした。

最初読み終わったときは、何のことかわからずもう一度読み直したというのが正直な私の感想です。
しかし、二回目の前半で気が付きました。

伏線が張り巡らされていていることを再確認して
2回目を読んだときに私はこの本の面白さが理解できました。
私にとっては驚きもすごく多く、楽しく読ませていただきました。

この小説に関してはレビューでストーリーに触れるのはなかなかもったいないと感じているのは私だけではないと思うので
中身には触れないでおきます。

仕掛けとしては巧妙でありながら、そんなに小説に触れてこなかった、読んでいない人でも楽しめると思います！
本を疎遠にしている人にこそ、この文字による仕掛けに触れていてほしいと私は感じています。

正直、オチをいいたい！！
でもこれからこの本を手に取る人のために私は触れません。

映画で知った人もいると思いますし、今更本で読むなんて・・・、
なんて感じないで手に取ってみると新しい感覚を得られる人も多くいるのではないかと感じさせてくれます。

文字だからこその仕掛けに触れてほしいです。",
,,1,"なんだかなぁ
","違和感ばかり

爽快感もないし

結局二股かけるビッチのお話ってだけ",
,,5,"こんなミステリーがあったのか！
","ミステリーの新しい形に驚かされ、
あんな爽快な読後感を得たのは久しぶり。
とにかく面白かった！

「ラスト一行でひっくり返る」とよく
書かれていましたが、まさにその通り。
数々の仕掛けられていたヒントに全く気づかないまま、
一気にラストまで読み進め、
案の定3回読み返しました。

単純に恋愛小説としても楽しめました。
私とはちょっと世代が違うのですが、
バブル期の恋愛模様はこんな風だったのかな、
とその頃の雰囲気も楽しめました。

この小説を読めて良かった！
と思う傑作だと思います。

作者の思うツボにはまる快感を是非。",
,,5,"はじめて読まれる人には
","今だに書籍等では人気コーナに並んでいますが
はじめて手に取られた人
この本に限ってはレヴュー一切見ないほうがいいと思います
先入観ないほうが、ブーム関係なく
こんな楽しめる本めったにないと思いました",
,,5,"壮大なトリックよりも・・・
","女心の底知れない闇の深さに驚き、恐怖を覚える作品です。
便秘の正体こええ～～～！！

私が思うに、女性に騙された（と気づいた）ことのある男性には、すごく身につまされるというか、共感を覚える点の多い作品だと思います。

が。
「たっくん」的な男性が読んでも、陳腐な恋愛小説にしか見えないのではないでしょうか。
騙され続けることの方が、ある意味幸せなのかも知れませんね。
そんなことを考えさせられる作品でした。

あと、アラフォー世代にはノスタルジックな楽しみ方もできますよ。",
,,5,"ヤラレマシタ。
","久々に”読んだあと人に話したくなる本”です。
どうせ”アレ系”なんだろうな、と疑って読んではいたのですが、見事に騙されました。（作中、時々引っかかる箇所はあったのに...）
殺人もアクションもサスペンスもないけど、見事なミステリー小説です。",
,,3,"あら？
","ミステリーは普段読まないのですが、恋愛系かな？と思って読んでみました。
普通に、深く考えず読んでいた私は最後のひとことに「あれ？」と思いました。確かに、途中でも不思議に思った箇所はあったものの深く考えてなかった私は「ああ！そういうことだったのね！」とやっとわかった感じ。たしかに、二度読まないと私には理解できませんでした。でも、それが必ずしも二度読みたくなる！という意味ではないと思います。勘のいい人ならすぐに気づくかもしれないし、私のように理解できなかった人でももう一度読みたいと思うかは読者の性格しだいだと思います。",
,,4,"なるほど。
","「最後から２行目で、全く違った物語に変貌する」に魅かれて読みました。
ラスト２行を読み終えたとき、意味がわからず、あとの解説で「なるほど、そういうことか！」とやっと理解できました。やられた～というほどの驚きはありませんでしたが、読み返してみると「あ～あれはこういうことだったのね」と仕掛けがわかって、おもしろかったです。
side-Aを読んだときは、ほのぼのとした恋愛小説で、二人がこのまま幸せでいてくれたらいいなあとしみじみ思いましたが、全てわかって読むと・・・一気に感情移入できなくなりました。コワイです。",
,,1,"期待して読みましたが・・・
","side-Bの序盤で気がつきました。なんだったらside-Aから怪しいとは思っていましたが。
うまいこと気づくように書いてるなーと思いながら読んでたらそのまま終わって驚きました。
逆に秘密って何だったの？って思って調べて見た感想は「知ってた」
そこかよ・・・。いやいや、普通に読んでたら気づくでしょ・・・。
そもそもsideって分け方してる時点で・・・ねえ？

作者がその最後の二行とやらをわざと仕込んだのかは知りませんが。
ただ気づけなかった人が騒いでいるだけのようにも思えるくらい、微妙です。
その二行のために読むと後悔します。
その宣伝文句がなかったら読まなかっただろうってくらい本編はダラダラ恋愛してるだけです。

私にとってはただの胸糞悪い男女のどうでもいい恋愛話でした。
まあ、夕樹はちょっと哀れかな～というくらいですね。
芸能人が騒がなければこんなに売れなかったでしょうね（事実騒ぐまで売れてなかったし）",夕樹
,,4,"二度読まされます。
","中出ししなければ妊娠しないと思ってるバカ男とでき婚の世間体を気にして堕胎するアホ女の腐った三流恋愛小説だと思って読んでいたら最後の最後でやられました。（絶対最後をチラッとでも見てから読んじゃダメですよ。）もう本当に衝撃。最後の数行でガラリと色が変わる。微妙に違和感は感じていたんだけどなあ…整合取れていないなあと思ってる部分もあったんだけど、そこは全部作者が読者に向けて提示してくれたヒントだったんだなあと。驚いた。面白いです。絶対読み終わったあとに前の方のページを読み返しだします。

頭がキレるひとは分かっちゃうかもしれないけど、この本の醍醐味は「最後の衝撃」を受けることだと思うので、軽い気持ちで読んでください。",
,,5,"何気ない会話もあとから読み返すと…
","最後の2行目～の煽りに興味があったので読んでみた。

ところどころに違和感はあったものの、純粋にどんでん返しを楽しみたかったので気にしないようにして読んでみた。

確かに2度読み返したくなる。
殺人事件が絡んでくるようなミステリーだとこれは伏線だなと気付くことも多いが、この作品は伏線を伏線と気付かせないような巧妙さ。

思わず人に勧めたくなる作品だと思う。",
,,2,"ヒントが多すぎ…。ミステリファンは注意
","個人的に東野圭吾とかの叙述トリックが気に入ってて、本書を読んでみたんですが、ヒントがあまりに多くてSideBに入った時点でトリックに気づいてしまいました…。
時期が重なってたのは途中までわからなかったけど…。

なので、あまり最初から疑ってかかると、ミステリー好きはあっという間に気付いてしまって楽しめないかも…。
一途な恋愛は幻想なのかなと、考えさせられるところはありましたが、驚きを期待してたミステリーファンとしての自分にはあまりに物足りない内容でした。",
,,5,"楽しめた。
","2007年4月10日 第1刷
現時点で53刷されている。

全然関係ないことだが手元にジャン・ジャック・ルソーの「孤独な散歩者の夢想」がある。
それが1951年4月30日に発行されて現時点で62刷。
もうすぐルソーを超えるヒットになるだろう。

帯には「110万部突破！」と書かれている。
ブックオフで超山積みになってそうだ。

さらには
「映像化不可能といわれたミステリーがついに映画化！」
「出演：松田翔太 前田敦子、、、」
と書かれている。
二回見たくなる映画に仕上がっていたら大したものだ。

そして各界著名人が大絶賛！

広瀬アリス
「読んでいるだけで女子力が上がる！こうやって胸キュンポイントを作るんだ」

このコメントの意味が分からなかった。ツッコミどころが違うのでは？
早速この人が誰なのかをググった。ＷＩＫＩには以下のような記載がある。

＜ＷＩＫＩ引用＞
以前は「広瀬 晶」名義で活動していた。現在の芸名は本名ではなく、その由来も分からないという

つまり広瀬アリスはアホの子なのか？それが一番のミステリーだった。",
,,4,"トリックは非常にシンプル
","使われているトリックは非常にシンプルなもの。

ただ、ディテールが他の同様のトリックを使った小説よりも凝っている。

本格的なものを読みたい時には向かないですが、サクッと読めるので、気分転換に小説でも読んでみたいなあという時にはおすすめです。",
,,3,"全く気づきませんでした
","読後、皆さんのレビューを見ても、なかなかトリックがわからず、ネタばれブログをチェックしてようやく意味がわかってきました。
物語自体は、この年代の恋愛を丁寧に描いてあって、はじめての交際、つらい遠距離恋愛等「うんうん、わかるわかる」という気持ちで、熱中して楽しみました。
著者は男性と聞き、納得した人物描写で、どちらかというと、男性側からの気持ちがよく表現してあります。
トリックについては、わかってからは、なんだ、そういうことか・・・という感じで、帯にかいてあるほど「仰天」はしなかったものの、比較的穏やかな気持ちで楽しめる恋愛ミステリーという感じで、面白かったです。",
,,4,"酷評が多いが一読の価値はあると思う
","年間30冊程度、本を読むのが遅い私は8時間ほどかかって読み終えました。まんまと著者の術にはまり2度読みました(^_^;
二回目は4時間ほどで読み終えて、いろいろな伏線が理解でき作品に愛着がわいたのですが、ストーリーが淡々としていて内容はあまり万人受けする物では無いですね。
そんなに読書家でない私が飽きずに読めたのは時代背景かな？主人公とおなじ世代だし恋愛観も似ている。自分のイニシエーションラブとオーバーラップして読めたからだと思います。

昔は純粋だったと思っている同世代にはオススメできます。若い人にはオススメできないかな？

酷評が多いですが売れている本です。なぜ売れているのか・・・
マーケティング戦略勝ちだと思いますが、売れるからには理由があると思います。
どうしてこの作品が売れるのだろうと思いながら、ネットで書評を読むのも読後の楽しみのひとつになりました(笑)

映像化は無理だし、映像化してもたいして面白くないとおもいますが、
読書離れが進んでいる時代に
小説でしか表現できない世界に、驚きと面白さがわかってもらえる人たちが増えることを望みます。",
,,3,"なるほど！そういう事だったのね（笑）
","普通の恋愛小説にトリック？があります。
読んでいるうちに早くに気付く人もいれば、
違和感を感じつつも、気づかない人も
多いのではないでしょうか？笑
私は後者の方で最後の2行目で、「あれ？」
でした（笑）何だかスッキリしない…
解説を読んでもはっきり分からず、ネタバレ記事を見てようやく、「あ～！なるほどな！」と
いう、鈍感ぶりでした（笑）
ネタバレになるので、詳しくは読んでみる
といいと思います。
知人からの絶賛で期待して読んだので、正直
期待しすぎました（笑）
期待しないで、普通の恋愛小説として素直に
読んでみられることをオススメします！

ヒロイン役の女性のしたたかさに、
感心します（笑）",
,,3,"宣伝されてる割には
","普通ってところ。話自体はあんまり面白くない。ヒントのちりばめ方はうまいけど、途中から「あれ?」と違和感を感じラストの2行で「ははーん、そういうことね」、解説を読んで「ああやっぱりそうだったか」で終わった……。なんかちょっと残念'`私は二度読み返す必要はなかったです。ストーリーの内容がもう少し面白かったらなあ……、何度も読み返すのに。ヒントのちりばめ方がうまいだけにすっげえ悔しい感じ。

読むのであれば恋愛小説としてではなく軽めのミステリー小説として読むのがオススメ!",
,,4,"いやー、おもしろかった
","えー、まあ、そんな人もいないとは思うけど、とにかくもアマゾンとかのレビューを読んではダメです。
予備知識なしで取りあえず読んで、それからこのレビューに戻ってきてください。

結果的には　「Aサイドが回っている裏で　Bサイドも回っている、レコードだって、カセットテープだってそれは同じ」

うーん、このネタに気づいたとき「おもしろーい」と思いました。
舞台がバブル期なのもいいですね。
逢いたくても逢えない、あのころだから成り立つストーリーです。
今だとケイタイつなぎホーダイなわけで、こうゆうストーリーが成り立たない。
うん、本当によく練りこまれてます。
水着とか、曜日を決めたデートとか、アダナとか、指輪とか、本の貸しっことか、ホテルの予約とか。
読んでる時は「どこぞのバカが書いたブログか！」とか思ってましたけど、全て読み終わった後にどれも意味のある描写だったんだなあと気づかされました。

なによりもユウキくんとマユちゃんが不幸になってないってわかったので、ものすごく安心しました。
めでたし、めでたし？？","ユウキくん
マユちゃん"
,,1,"お金と時間の無駄でした
最初に書いておきますがネタバレがあります。

「必ず二回読みたくなる」｢最後から二行目で、本書は全く違った物語に変貌する｣の煽り文句につられて読んでみましたが…
Side-Aの途中でラストはある程度予想できるし、張ってある伏線（指輪・便秘で入院・平日しか逢えない等）もあからさまで先が読めるし、Side-AとSide-Bでの「たっくん」は別人だということもSide-Bを少し読めば明白。
それ以上の何かがあるのかと退屈なラブストーリーを最後まで読んでみたが予想通りのラスト二行でした。

それにしても、呼び間違い防止のために「夕樹」→「たっくん」はどうかと思う。",,"夕樹
たっくん"
,,5,"この驚き！すごい！
","私は今まで本を読む習慣がなく、ふらっと立ち寄った書店で目についた「必ず2回読みたくなる小説・最後から2行目！絶対読まないで！」というキャッチ・フレーズに惹かれ衝動買いしました。
確かに最後に「え！？」という驚きがあります。1回目に読んでいるときに「ん？」と思う箇所が多々あったはずなのに…
2回目にすぐ突入して「すごい…」と思わず友達に報告（笑）。
久々の読書。とてもいいミステリーに出会えてよかったです。皆さんも「おっ」という驚き。体験してみては？？",
,,5,"読んだことのある誰かと話がしたくてうずうずします！
","「おお、これは凄い！」というのが読後の素直な感想です！

物語はマユちゃんと鈴木君の青春ラブストーリー。
Happyいっぱいの「sideA」と、お互い社会人になり遠距離とたたかううちに苦いものが混じってくる「sideB」。。。

…と思いきや？
最後の鈴木くんの回想セリフで「…ん」と思わせてその直後のセリフで「ぐわ～～～ん！」とした衝撃をもってくる！

「えー、じゃあ、これもあれもどういうこと？」と思いながら、もう一度読み終えたページをめくってしまいました。
（私は紙に書いて確かめました。もちろん“2段組”です）

なるほどー、「2度読みたくなるミステリー」というキャッチのわりに、ただの青春小説じゃん。などと読み進めていたら、最後の最後に背筋がゾクり。
「なるほどミステリーだ」と思うような意外性の切れ味！

思えばテープもレコードも、B面の終りはA面の始めなわけで。。。
いやー、こりゃやられました。
作者の思うツボにはまり、とても心地よい読後感です。
誰かと話したくなるようなすばらしい作品です！","マユちゃん
鈴木くん
鈴木君"
,,1,"なかなか進まない
","酷評のみなさんが書いてらっしゃるように
最後の2行にたどり着くまでがとても退屈で読むのに4.5日かかってしまいました。
こんなに進まないのはとても珍しかったです。
無理をしてなんとか最後までたどり着き・・・
あぁ・・・それだけ・・・？
期待しすぎました。",
,,4,"なるほど
",ちょっとわかりにくいけど注意深く読んでけばオチはわかんなくないですね。読み終えてすぐ前の章見てなるほどーって感じだった。でもリピートには劣るかな。でもこの作品十分にうまい,
,,4,"ネタバレ無し
","ネタバレ無し
最初の合コンからはじまり
ベタな恋愛小説感が強くて読むのに結構苦労しましたが最後は驚かされました。

二度読みしたくなる、驚愕するというのは大袈裟かなと思ってましたが
言葉通りでした。一読したときの解釈とまた二回目熟読すると別の解釈になったりと謎解きが楽しめます。
ですが時系列になっていたりと
かなり奥が深いので、絶対に解説ページを検索してみた方が良いです！
自分の考えと正解？ではちがったりするので！",
,,4,"驚いて読み返しました
",後ろ表紙に書かれていた「最後から二行目を絶対に先に読まないでください。」というフレーズに惹かれて買いました。途中までレトロな恋愛話しで後半はイラツキ気味で読んだのですが、最後の二行がほんとに意味不明で、最初から読み返しました。謎がわかった瞬間キャ～って思わず声が出てしまうほど驚きました。そのあとは読み返すほど発見があって面白かったです♪♪,
,,4,"必ず二回読みたくなる
","背表紙の解説があまりにもすてきで買っちゃっいました。

一気に読んでいたら

文中に「150号線」「焼津」「大井川」「静波海岸」　…

めっっちゃなじみがある単語がどんどこでてきてびっくり。

道玄坂とか、池袋サンシャインとか、湘南とかじゃなくて

「呉服町通り」「青葉公園」「静岡大学」…

「150号線のココス」なんてあたしバイトしてたわ。

作者が静岡生まれ、静岡育ちなんですね。

あーあの通りを歩いてるんだな、とか、あの店のことだな、とか

映像がクリアーに浮かんで読んでて２倍楽しめた。

そしてラスト２行目。　なるほど！

なんだなんだこの裏切られた感。　

イヤな意味じゃなくて　「あーやられた！」ってこの感じ。

点と点がつながって、時間軸がぴたっと合わさる。

背表紙の解説の意味がほんとよく分かりました。

「必ず二回読みたくなる」　

あまりにも日常的で、一見平凡で。

だけど相手の中にも自分の中にも

すごく身近なところに、これと同種のものが存在していて

自分で自分のそれを発見してこわくなったり

時々相手の中に見つけてしまってこわくなったり。

出会いからクリスマスまであまりに丁寧に追ってるから

その分、ラスト２行が効いた。

おんなってこわいね。",
,,4,"たしかに驚かされる内容
しょうが。","思わず2回読んでしまう驚きのトリックであると聞いて読みました。
たしかにすごく驚かされましたが欲を言うとこの小説を
「驚きのトリックが隠された小説」
としてではなく
「普通の恋愛小説」
として読んでもっと驚きたかったです。
最も普通の恋愛小説と言われたなら手に取ることは恐らくなかったで",
,,4,"確かに、二度読みました。
","読んでいる途中、ときどき何か不自然なものを感じるのですが、結局最後までそれが何なのか分かりませんでした。
最後のページで「え？え？？」と、なり、解説のあとに用意されている用語辞典を読んでもまだピンと来ず、二度目を読んで、「おお。」とうなってしまいました･･･
不自然なものを感じたところが、見事に伏線になっていました。",
,,4,"最初わからなかったけど、トリックはきちんとしてます。
",最初読み終わったあと、トリックらしいトリックがピンとこず「最後の2行も、まぁありふれたオチじゃない」と思ってましたが、きっと気付いていない何かあるんだろうと想い、ここのレビューを参考にさせて頂きました。巻末の解説の濃い字体のところに着眼してみると「あっ、そういうことね」と気付きました。どのレビューアの方も、細かくタネあかしをしていないのが紳士的でよいのですが、時間軸に従って違和感を払拭しながら見ていくのは少し面倒なシステムですね。極端に低評価をしているレビューアの一部の方には、トリックに気付いていないと思われる方もいるようです。私の中では悪役？が入れ替わりました。あと男性より女性のが恋愛テクニックでは上手（うわて）なんだと想い知りました。騙されている男性の愚かさがよく出てます。こわいですねぇ。,
,,5,"素晴らしい
","　五ページくらいまえでオチがわかったのだが、それでもめちゃくちゃに面白かった。
　Ｊの神話のときは引いてしまったんだけど、この作品、めちゃくちゃ面白いです。
　伏線の張り方が異常なぐらい上手く、読み終わったあと戻ってぺらぺらめくり続けてしまった。",
,,5,"隠れた伏線に舌を巻く
","何の前知識もなく、まず読んでいただきたい。
目次にあるような、往年の名曲が似合うような
くすぐったい恋愛小説の様に思われます。
　～　まんまとだまされました。　～
登場人物の動きやセリフ、伏線はいろいろ。
軽いタッチで書かれているので、あっという間に読み終わります。
何がどう【イニシエーション・ラブ】なのか考えさせられる１冊です。
あまり書くとネタばれになるので、
後は、手に取ったあなたのお楽しみに！",
,,5,"だ、ま、さ、れ、た
","　私は推理小説が好きなくせに、ろくすっぽ推理というものをしません（たまに、考えながら読むんですが、当たったためしが殆どない）。それで、この話も普通に読んでいました。「最後の２行」でどう変貌するのか、と思いながら読み進めました。で、読み終わりました（一晩（3時間くらい）で読みました）。…「ええええええっ」なるほど、確かに全く違う物語になりました。
　こういう邪悪な話は大好きです。となると、私の心も、乾先生の作風みたいに、歪んでいるのかも？",
,,2,"必ずside-A→Bと読んだ後にside-Aに戻るけども……
","何年も前から話題になっていた作品ですが、話題になっている作品ほど読まないという天の邪鬼なワタクシは、クーポン券の使用期限が近づいていたので、ようやく読んでみるかと購入。

「騙される」「必ず二回読みたくなる」とたっぷり煽ってくれるので、マユとタッくんの恋愛模様を読みながら後半部分でどうひっくり返してくれるのかなぁ……と思っていたのですが。

うーん、確かに「もう一度読み返す」のですが、面白くてとか、騙されたことに驚いて読み返すという感じではありませんでした。
なんて言うか……確認作業？

side-Aとside-Bと分けている辺りで、ミステリマニアはピンときちゃうもんです。
明らかにside-AとBでは○○の描き方が違っているので、あぁ、これじゃなければいいなぁと思って読み続けていくと、マユとタッくんの破局を描くあたりでもう完全に叙述トリックが仕掛けられているのが分かってしまうので、最後の2行目の台詞も破壊力半減。

いや、最後の2行目の台詞は凄く巧いんだけどね。
たった一言のネタばらしという意味で。

うーん、個人的にはかなり期待外れやったなぁ。
てか、これの映画化って話があるみたいやけど……無理があるよなぁ。","マユ
タッくん"
,,3,"小説家は詐欺師になれる（笑）
","なんかオススメの小説を探しててこれがいいとあったから図書館で予約したら半年待ち(笑)
やっと見ることが出来ました。
マユちゃんとの純愛が描かれていき最後はマユちゃん可哀想 鈴木死ねと思いましたが… あれ? 違和感が
考察サイトでみて なるほどなるほど
小説家はミスリードを使い誘導するプロだなと思いました。
いずれ元オレオレ詐欺の犯人が小説家になりそう(笑)

話はチープだがセックス描写は官能的で息子が立ち上がりかけた。
実写の前田敦子じゃ脱がねえだろ(;`皿') 違う子いなかったんか～い

一度読んでから考察サイトを読むと可哀想な天使なマユが…

読後に女と付き合いたくなくなる オリエント工業に走りたくなる小説でしたw

ただミステリーではない 野崎まど作品のがミステリーオチだなと思いました。","マユちゃん
鈴木"
,,5,"混乱させられた
","噂は聞いていましたが、確かに読み終わったあと頭の中が？で埋め尽くされました。

本書は前後半でAパートとBパートの２つに分けられています。
この時点でなにやらあやしい感じがしていますが、
つつがなく主人公である鈴木の物語は進行していきます。
そして辿りつく不思議な結末...

当然、随所にしかけの伏線がちりばめられているのですが、
果たしてどれだけそれに気づけるでしょうか...
個人的には、巻末の“再読のお供”が楽しかったです。
あれを読んで急いで読み返したくなりました。

作者の本はそれぞれに独特のギミックが用意されているため、
一味違った小説を読みたい方にオススメです。","鈴木
"
,,5,"やはり。2回読んでしまいました。
",ずいぶん、読む人読む人、最後のページでまた戻るとおっしゃられるので、いやあ私はそんなことはないだろうと注意深く読んで、でも、サイドBからの、なんともいえない違和感が、でも、きっと遠距離恋愛のある形で最後は終わるのかと思っていたら、あれ？？？何だと思い、結局最初からまた読んでしまいました。読者をたぶらかす、乾くるみのトリックに“やられた感”が強い読後でした。,
,,5,"びっくりするのはラスト2行じゃない！
","※多少のネタバレがあります。
ふつうに読んでいれば、おそらく最後の2行にたどり着く前に大体わかると思います。
そんなことよりも、この本の最大のミステリーは、乾くるみと言う作者です。
文章の書き口やその名前から、作者像を勝手に思い描いていたのですが_。
Googleで検索をかけてみてください。
この本やペンネームから受ける印象が180°変わると思います。",
,,4,"恋愛小説は読まないけどミステリーが好き
","最初の三割くらいまで恋愛小説を読んでいる感覚で、途中から「？？？」と違和感を感じながら読み終えました。傑作ミステリーと呼ばしめるトリックが分からず、眠りながら考えていて「あっ！」と気づくと背筋がぞわぞわと眠気が飛びました。私はマユのような女性が好きです。女性はこれくらい聡くないと！

文章の構成で騙されました。また設定が８０年代後半で、当時のドラマや公衆電話等、世俗を想像できます。
これをミステリーと呼ぶのか分かりませんが、レビューしたい、おススメしたいと思える本です。",マユ
,,3,"今読むにはちょっと
",大学生が読むと面白いかも知れない。昔の若者のライフスタイルが垣間見れるので。,
,,3,"途中でネタが分かってしまった
","夫の蔵書の中から拾って読みました。
順当に読んでる途中で、なんとなくネタが分かってしまいました。前半1/3くらいのところで。

私が女だからかしらねぇ。
百パーセントじゃないけど、あ、この人って……という気がしたんですね。

だから、最後まで読んでも、なるほど、やっぱりねぇ。
うまい構成だなぁ、と思ったに留まってしまいました。

でも、なかなかよくできた作品だと思います。

楽しく読めました。",
,,1,"平成生まれの人には分からない
","買って損した。読んだ時間を損した。
そう思ったのはこの本が初めて。
今度からは人の評判を信じずに買おうと決めました。
舞台が昭和なのですが、私にはちっともぴんと来ませんでした。「男女７人夏物語」のことを頻繁に話題に出されても、全然分かりません。
そういうジェネレーションギャップのある人にはお勧めできません。
その時代をリアルに生きた人には面白いのかもしれません。
最後の仕掛けも、そんなにすごいものでもなかったです。もっとすごいものを期待していたので…。
期待した自分がバカでした。
この本と一緒に、同じ作者の別の本も買おうと思ったのですが、買わなくて良かったです。",
,,5,"手法の価値
","物凄く画期的な作品だと思います。
ですが、本作の手法を用いたからと言って、
その途中が面白くなるわけではないと思いました。
A.Bパートを半分位の分量にして、
「その後」的な文書があったら、
手法が上手く活きるのかなぁ…と思いました。
まぁその辺のぶった切り感があればこその作品だとは思いますが。",
,,1,"う～ん・・・
","最後2行で物語が全く変わる！ミステリーにもなる！？というふれこみが気になり普段は絶対読まない普通の恋愛小説を我慢して我慢して最後まで
読みました。結果・・・えっ？？？それがおち？？？想像していたものとは全く違いました。ふれこみが悪いです。全然ミステリーじゃないし・・・
私的にはがっかりです。こういう小説もあるのかと・・・勉強になりました。",
,,2,"男って…
","半分は楽しんで読めましたが、後半のたっくんの酷さに、「やっぱり男性はこういう生き物なのか…」とげんなりし、マユに感情移入して悲しくなりながらなんとか最後まで読みました(笑
最後から二行目は、正直意味がわからなくて、映画のほうのレビューでネタバレを見てようやくわかりました。","たっくん
マユ"
,,2,"本当にアホですみません・・・
",「最後の２行で驚愕の！」をワクワクしながら読みすすんだのですが、結局全く意味が分からず読了後もただ？？茫然？？でした。で、色々読んであ～そういうこと・・とやっと納得。私はてっきり昔の男の名前かと思い、「美弥子、おまえもか！」という印象でした。全然違いますね、すみません本当にアホで。ただ自己嫌悪になった作品です・・・この手なら「葉桜の季節に・・」の方がずっと驚愕しました。でも、皆さんのレビューを拝読するとこちらの評価がとても高いので・・もう1回じっくり読みなおします。いずれにせよ、堕胎とかＤＶとか生理的に受けつけない内容ではありました。,美弥子
,,1,"詐欺小説
","最低。
「読んではいけない本」第１位決定。
こんな騙しはトリックではなく単なる詐欺小説。",
,,3,"トリックとしては秀逸。物語としては凡庸。
","ミステリ的なトリックを楽しむゲーム感覚で読みたい方にとっては★5。
物語として楽しみたい方には★1でしょう。
後者の方は読まない方が無難です。",
,,5,"恋愛×ミステリー＝二度おいしい☆

","ミステリーはほとんど読まない私ですが（だから？）、
これはかなりハマりました。

合コンから始まって、トントン拍子に話が進んでいった…と思ったら、
まさかの展開！

「ラスト2行で大逆転」とのふれこみだったからダマされないぞ～と思って読んでましたが、
見事にダマされました。新幹線の中で一気に読みました。

恋愛ストーリーについて「浅い」とか批判多いですが、
私はリアルで面白いと思いました。
主人公カップルと自分を重ねて、自身のイニシエーションラブを振り返ったり…。
いつ裏切られる！？というドキドキ感と、
恋愛初期特有のドキドキ感の両方を味わえる良い小説でした。

ミステリー好きにはわかりませんが、初心者には面白いと思います。",
